GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
leonidas,ch.nblotti.leonidas.asset,AssetService,169,0,6,0,22,0,13,0,10,0
leonidas,ch.nblotti.leonidas.entry.security,SecurityEntryService,46,0,0,0,8,0,6,0,6,0
leonidas,ch.nblotti.leonidas.entry.security,SecurityEntryReceiver,198,0,7,0,34,0,9,0,5,0
leonidas,ch.nblotti.leonidas.entry.cash,CashEntryReceiver,293,0,18,0,49,0,15,0,5,0
leonidas,ch.nblotti.leonidas.entry.cash,CashEntryService,46,0,0,0,8,0,6,0,6,0
leonidas,ch.nblotti.leonidas.entry,EntryReceiver,104,0,11,0,17,0,10,0,4,0
leonidas,ch.nblotti.leonidas.performance,SecurityPerformanceReceiver,31,0,2,0,6,0,4,0,3,0
leonidas,ch.nblotti.leonidas.performance,CashPerformanceReceiver,31,0,2,0,6,0,4,0,3,0
leonidas,ch.nblotti.leonidas.position.cash,CashPositionService,467,0,34,0,76,0,26,0,9,0
leonidas,ch.nblotti.leonidas.position.cash,CashPositionReceiver,135,0,15,0,22,0,11,0,3,0
leonidas,ch.nblotti.leonidas.order,OrderService,125,0,8,0,24,0,12,0,7,0
leonidas,ch.nblotti.leonidas.quote.fx,FXQuoteService,112,0,10,0,27,0,9,0,4,0
leonidas,ch.nblotti.leonidas.process,MarketProcessService,144,0,2,0,39,0,12,0,11,0
leonidas,ch.nblotti.leonidas.account,AccountService,152,0,6,0,34,0,10,0,7,0
leonidas,ch.nblotti.leonidas,ShellCommand,420,0,6,0,53,0,16,0,13,0
leonidas,ch.nblotti.leonidas,LeonidasApplication,69,0,0,0,21,0,8,0,8,0
leonidas,ch.nblotti.leonidas.position.security,SecurityPositionReceiver,135,0,15,0,22,0,11,0,3,0
leonidas,ch.nblotti.leonidas.position.security,SecurityPositionService,674,0,44,0,108,0,34,0,12,0
leonidas,ch.nblotti.leonidas.quote.asset,QuoteService,79,0,10,0,19,0,9,0,4,0
leonidas,ch.nblotti.leonidas.quote.asset,AbstractQuoteService,103,0,4,0,13,0,6,0,4,0
